Word,Joint_Prob,Posterior_Prob,Frequency
pryor,1.1923076923076932,0.5961538461538466,2
bob,1.1911764705882353,0.5955882352941176,2
asset,1.1857142857142855,0.5928571428571427,2
mullen,1.181818181818183,0.5909090909090915,2
jericho,1.1785714285714282,0.39285714285714274,3
mongolian,1.1785714285714282,0.39285714285714274,3
fan,1.1785714285714282,0.5892857142857141,2
cuba,1.177514792899408,0.588757396449704,2
richard,1.1769230769230765,0.5884615384615383,2
portman,1.1666666666666665,0.5833333333333333,2
alberto,1.1666666666666665,0.5833333333333333,2
ski,1.1666666666666665,0.5833333333333333,2
drier,1.1666666666666665,0.5833333333333333,2
mission,1.1639610389610384,0.5819805194805192,2
4th,1.1625,0.58125,2
hawaii,1.1607142857142858,0.5803571428571429,2
campaign,1.1594114040465973,0.5797057020232986,2
cheryl,1.1538461538461544,0.5769230769230772,2
judd,1.1538461538461544,0.5769230769230772,2
unsold,1.1538461538461544,0.5769230769230772,2
twenty-two,1.1538461538461544,0.5769230769230772,2
prison,1.1507936507936498,0.5753968253968249,2
want,1.1500338676902235,0.5750169338451118,2
mall,1.15,0.575,2
two-year,1.15,0.575,2
federal,1.1446714522363335,0.5723357261181667,2
pete,1.1399999999999992,0.5699999999999996,2
regardless,1.1394230769230773,0.5697115384615387,2
aircraft,1.1379310344827587,0.5689655172413793,2
game,1.1367187499999993,0.3789062499999998,3
photo,1.136363636363636,0.568181818181818,2
naval,1.1355932203389831,0.5677966101694916,2
next,1.1280809859154932,0.5640404929577466,2
voter,1.1274509803921562,0.5637254901960781,2
feudal,1.125,0.375,3
westland,1.125,0.375,3
luke,1.1249999999999998,0.5624999999999999,2
regina,1.1249999999999998,0.5624999999999999,2
irvin,1.1249999999999998,0.5624999999999999,2
401k,1.1249999999999998,0.5624999999999999,2
ditch,1.1212121212121215,0.5606060606060608,2
bear,1.117391304347827,0.5586956521739135,2
award,1.1161290322580646,0.5580645161290323,2
person,1.1159305993690851,0.5579652996845426,2
judgement,1.1153846153846154,0.5576923076923077,2
easier,1.112903225806452,0.556451612903226,2
dealt,1.1119999999999994,0.5559999999999997,2
give,1.1090578612541655,0.5545289306270828,2
parent,1.1040462427745665,0.5520231213872833,2
99,1.1025641025641022,0.5512820512820511,2
code,1.100358422939068,0.550179211469534,2
sox,1.0999999999999999,0.5499999999999999,2
botswana,1.0999999999999999,0.5499999999999999,2
plo,1.0999999999999999,0.5499999999999999,2
amend,1.0999999999999985,0.3666666666666662,3
equal,1.0949367088607593,0.5474683544303797,2
partner,1.0925925925925923,0.5462962962962962,2
